Hrs	YY	MM	DD	HH	MM	SEC	L1_phase	L2_phase	C1_range	P2_range	\fD\nP2-C1 (m)	\fD\nL2*\fl\n\d2\n-L1*\fl\n\d1\n (m)
19.725	2.0000	1.0000	16.000	19.000	43.000	30.000	6696096.795	1586526.390	24420498.336	24420514.863	16.527	-5.000
19.729	2.0000	1.0000	16.000	19.000	43.000	45.000	6729278.536	1612382.217	24426811.672	24426827.906	16.234	-5.062
19.733	2.0000	1.0000	16.000	19.000	44.000	0.0000	6762519.250	1638284.002	24433138.375	24433153.438	15.063	-5.062
19.737	2.0000	1.0000	16.000	19.000	44.000	15.000	6795819.106	1664231.843	24439474.305	24439492.566	18.261	-5.062
19.742	2.0000	1.0000	16.000	19.000	44.000	30.000	6829178.855	1690226.355	24445822.836	24445838.215	15.379	-5.125
19.746	2.0000	1.0000	16.000	19.000	44.000	45.000	6862597.519	1716266.773	24452182.641	24452203.035	20.394	-5.125
19.750	2.0000	1.0000	16.000	19.000	45.000	0.0000	6896075.627	1742353.551	24458552.773	24458569.160	16.387	-5.125
19.754	2.0000	1.0000	16.000	19.000	45.000	15.000	6929612.889	1768486.330	24464934.461	24464951.316	16.855	-5.187
19.758	2.0000	1.0000	16.000	19.000	45.000	30.000	6963209.178	1794665.189	24471328.813	24471344.473	15.660	-5.187
19.763	2.0000	1.0000	16.000	19.000	45.000	45.000	6996864.157	1820889.753	24477732.695	24477749.270	16.575	-5.250
19.767	2.0000	1.0000	16.000	19.000	46.000	0.0000	7030577.017	1847159.437	24484148.039	24484167.309	19.270	-5.250
19.771	2.0000	1.0000	16.000	19.000	46.000	15.000	7064346.759	1873473.395	24490574.320	24490588.305	13.985	-5.250
19.775	2.0000	1.0000	16.000	19.000	46.000	30.000	7098172.833	1899831.305	24497011.242	24497026.738	15.496	-5.312
19.779	2.0000	1.0000	16.000	19.000	46.000	45.000	7132054.350	1926232.368	24503458.398	24503472.758	14.360	-5.312
19.783	2.0000	1.0000	16.000	19.000	47.000	0.0000	7165992.516	1952677.593	24509917.352	24509933.867	16.515	-5.375
