Hrs	YY	MM	DD	HH	MM	SEC	L1_phase	L2_phase	C1_range	P2_range	\fD\nP2-C1 (m)	\fD\nL2*\fl\n\d2\n-L1*\fl\n\d1\n (m)
19.029	2.0000	1.0000	16.000	19.000	1.0000	45.000	1908395.142	1475287.696	23509415.781	23509426.660	10.879	-1.198
19.033	2.0000	1.0000	16.000	19.000	2.0000	0.0000	1932691.715	1494220.001	23514039.695	23514050.645	10.950	-1.219
19.038	2.0000	1.0000	16.000	19.000	2.0000	15.000	1957052.074	1513202.008	23518675.008	23518685.840	10.832	-1.242
19.042	2.0000	1.0000	16.000	19.000	2.0000	30.000	1981475.864	1532233.433	23523322.813	23523333.680	10.867	-1.266
19.046	2.0000	1.0000	16.000	19.000	2.0000	45.000	2005965.941	1551316.525	23527983.055	23527994.203	11.148	-1.287
19.050	2.0000	1.0000	16.000	19.000	3.0000	0.0000	2030520.298	1570449.709	23532655.602	23532667.184	11.582	-1.307
19.054	2.0000	1.0000	16.000	19.000	3.0000	15.000	2055136.853	1589631.347	23537340.195	23537351.227	11.032	-1.329
19.058	2.0000	1.0000	16.000	19.000	3.0000	30.000	2079818.343	1608863.582	23542037.234	23542048.770	11.536	-1.353
19.063	2.0000	1.0000	16.000	19.000	3.0000	45.000	2104563.881	1628145.732	23546746.031	23546757.766	11.735	-1.374
19.067	2.0000	1.0000	16.000	19.000	4.0000	0.0000	2129373.063	1647477.478	23551467.086	23551478.703	11.617	-1.395
19.071	2.0000	1.0000	16.000	19.000	4.0000	15.000	2154246.486	1666859.270	23556200.469	23556211.523	11.054	-1.418
19.075	2.0000	1.0000	16.000	19.000	4.0000	30.000	2179183.390	1686290.534	23560945.695	23560956.199	10.504	-1.440
19.079	2.0000	1.0000	16.000	19.000	4.0000	45.000	2204183.521	1705771.053	23565703.180	23565715.184	12.004	-1.465
19.083	2.0000	1.0000	16.000	19.000	5.0000	0.0000	2229245.056	1725299.425	23570472.391	23570483.387	10.996	-1.489
19.087	2.0000	1.0000	16.000	19.000	5.0000	15.000	2254368.370	1744875.922	23575253.641	23575264.602	10.961	-1.516
19.092	2.0000	1.0000	16.000	19.000	5.0000	30.000	2279555.732	1764502.359	23580046.148	23580056.828	10.680	-1.535
19.096	2.0000	1.0000	16.000	19.000	5.0000	45.000	2304806.462	1784178.158	23584851.820	23584863.133	11.313	-1.558
19.100	2.0000	1.0000	16.000	19.000	6.0000	0.0000	2330119.423	1803902.446	23589668.578	23589679.316	10.738	-1.582
19.104	2.0000	1.0000	16.000	19.000	6.0000	15.000	2355494.550	1823675.203	23594497.477	23594508.555	11.078	-1.599
19.108	2.0000	1.0000	16.000	19.000	6.0000	30.000	2380930.592	1843495.399	23599337.461	23599349.277	11.816	-1.622
19.112	2.0000	1.0000	16.000	19.000	6.0000	45.000	2406428.651	1863363.903	23604189.906	23604201.547	11.641	-1.650
19.117	2.0000	1.0000	16.000	19.000	7.0000	0.0000	2431988.636	1883280.718	23609054.023	23609065.641	11.618	-1.664
19.121	2.0000	1.0000	16.000	19.000	7.0000	15.000	2457609.519	1903244.935	23613929.977	23613941.688	11.711	-1.690
19.125	2.0000	1.0000	16.000	19.000	7.0000	30.000	2483291.366	1923256.676	23618816.984	23618828.203	11.219	-1.711
19.129	2.0000	1.0000	16.000	19.000	7.0000	45.000	2509034.304	1943316.013	23623715.828	23623727.094	11.266	-1.735
19.133	2.0000	1.0000	16.000	19.000	8.0000	0.0000	2534838.007	1963422.701	23628626.320	23628638.324	12.004	-1.758
19.138	2.0000	1.0000	16.000	19.000	8.0000	15.000	2560701.489	1983575.966	23633547.484	23633559.125	11.641	-1.781
19.142	2.0000	1.0000	16.000	19.000	8.0000	30.000	2586625.078	2003776.075	23638480.500	23638492.316	11.816	-1.803
19.146	2.0000	1.0000	16.000	19.000	8.0000	45.000	2612608.237	2024022.612	23643425.500	23643437.188	11.688	-1.823
19.150	2.0000	1.0000	16.000	19.000	9.0000	0.0000	2638650.837	2044315.457	23648380.898	23648392.633	11.735	-1.845
19.154	2.0000	1.0000	16.000	19.000	9.0000	15.000	2664751.735	2064653.704	23653348.727	23653360.695	11.968	-1.873
19.158	2.0000	1.0000	16.000	19.000	9.0000	30.000	2690910.327	2085036.952	23658326.391	23658338.137	11.746	-1.890
19.163	2.0000	1.0000	16.000	19.000	9.0000	45.000	2717125.876	2105464.545	23663314.430	23663325.590	11.160	-1.917
19.167	2.0000	1.0000	16.000	19.000	10.000	0.0000	2743398.324	2125936.493	23668314.445	23668326.238	11.793	-1.938
19.171	2.0000	1.0000	16.000	19.000	10.000	15.000	2769726.299	2146451.689	23673324.336	23673336.551	12.215	-1.965
19.175	2.0000	1.0000	16.000	19.000	10.000	30.000	2796108.739	2167009.354	23678344.508	23678356.465	11.957	-1.985
19.179	2.0000	1.0000	16.000	19.000	10.000	45.000	2822543.262	2187607.563	23683375.227	23683386.703	11.476	-2.014
19.183	2.0000	1.0000	16.000	19.000	11.000	0.0000	2849030.172	2208246.635	23688415.500	23688426.602	11.102	-2.033
19.188	2.0000	1.0000	16.000	19.000	11.000	15.000	2875567.008	2228924.586	23693465.023	23693476.137	11.114	-2.059
19.192	2.0000	1.0000	16.000	19.000	11.000	30.000	2902154.061	2249641.689	23698524.734	23698537.031	12.297	-2.078
19.196	2.0000	1.0000	16.000	19.000	11.000	45.000	2928789.209	2270396.257	23703593.750	23703605.449	11.699	-2.101
19.200	2.0000	1.0000	16.000	19.000	12.000	0.0000	2955472.618	2291188.437	23708671.344	23708682.832	11.488	-2.122
19.204	2.0000	1.0000	16.000	19.000	12.000	15.000	2982200.292	2312015.100	23713757.266	23713768.977	11.711	-2.146
19.208	2.0000	1.0000	16.000	19.000	12.000	30.000	3008965.323	2332870.867	23718850.609	23718862.496	11.887	-2.170
19.212	2.0000	1.0000	16.000	19.000	12.000	45.000	3035780.355	2353765.602	23723953.570	23723964.191	10.621	-2.194
19.217	2.0000	1.0000	16.000	19.000	13.000	0.0000	3062648.415	2374701.645	23729066.234	23729078.566	12.332	-2.220
19.221	2.0000	1.0000	16.000	19.000	13.000	15.000	3089555.556	2395668.153	23734186.406	23734198.961	12.555	-2.243
19.225	2.0000	1.0000	16.000	19.000	13.000	30.000	3116498.278	2416662.377	23739313.500	23739325.082	11.582	-2.269
19.229	2.0000	1.0000	16.000	19.000	13.000	45.000	3143481.184	2437687.921	23744448.094	23744460.051	11.957	-2.292
19.233	2.0000	1.0000	16.000	19.000	14.000	0.0000	3170511.154	2458750.131	23749592.477	23749604.727	12.250	-2.318
19.237	2.0000	1.0000	16.000	19.000	14.000	15.000	3197584.710	2479846.324	23754744.156	23754756.629	12.473	-2.339
19.242	2.0000	1.0000	16.000	19.000	14.000	30.000	3224700.081	2500975.071	23759904.086	23759916.594	12.508	-2.366
19.246	2.0000	1.0000	16.000	19.000	14.000	45.000	3251855.719	2522135.235	23765071.961	23765085.523	13.562	-2.384
19.250	2.0000	1.0000	16.000	19.000	15.000	0.0000	3279050.364	2543325.770	23770246.703	23770259.516	12.813	-2.408
19.254	2.0000	1.0000	16.000	19.000	15.000	15.000	3306282.576	2564545.579	23775428.742	23775441.004	12.262	-2.432
19.258	2.0000	1.0000	16.000	19.000	15.000	30.000	3333553.622	2585795.655	23780617.984	23780629.590	11.606	-2.453
19.263	2.0000	1.0000	16.000	19.000	15.000	45.000	3360863.562	2607076.023	23785815.273	23785827.617	12.344	-2.479
19.267	2.0000	1.0000	16.000	19.000	16.000	0.0000	3388211.163	2628385.767	23791019.773	23791033.359	13.586	-2.497
19.271	2.0000	1.0000	16.000	19.000	16.000	15.000	3415596.871	2649725.164	23796230.961	23796243.316	12.355	-2.526
19.275	2.0000	1.0000	16.000	19.000	16.000	30.000	3443021.613	2671095.002	23801449.445	23801462.328	12.883	-2.548
19.279	2.0000	1.0000	16.000	19.000	16.000	45.000	3470485.250	2692495.150	23806675.969	23806688.711	12.742	-2.569
19.283	2.0000	1.0000	16.000	19.000	17.000	0.0000	3497990.587	2713927.788	23811910.211	23811922.754	12.543	-2.592
19.288	2.0000	1.0000	16.000	19.000	17.000	15.000	3525536.943	2735392.371	23817152.211	23817164.145	11.934	-2.619
19.292	2.0000	1.0000	16.000	19.000	17.000	30.000	3553120.950	2756886.300	23822401.531	23822414.016	12.485	-2.644
19.296	2.0000	1.0000	16.000	19.000	17.000	45.000	3580743.822	2778410.524	23827658.195	23827670.727	12.532	-2.666
19.300	2.0000	1.0000	16.000	19.000	18.000	0.0000	3608406.341	2799965.629	23832922.266	23832935.336	13.070	-2.692
19.304	2.0000	1.0000	16.000	19.000	18.000	15.000	3636110.838	2821553.455	23838194.016	23838207.496	13.480	-2.715
19.308	2.0000	1.0000	16.000	19.000	18.000	30.000	3663859.298	2843175.563	23843474.664	23843487.031	12.367	-2.731
19.313	2.0000	1.0000	16.000	19.000	18.000	45.000	3691648.211	2864829.174	23848762.469	23848775.059	12.590	-2.753
19.317	2.0000	1.0000	16.000	19.000	19.000	0.0000	3719476.674	2886513.618	23854058.383	23854070.586	12.203	-2.771
19.321	2.0000	1.0000	16.000	19.000	19.000	15.000	3747347.185	2908230.795	23859361.961	23859375.160	13.199	-2.796
19.325	2.0000	1.0000	16.000	19.000	19.000	30.000	3775259.428	2929980.490	23864672.742	23864686.082	13.340	-2.822
19.329	2.0000	1.0000	16.000	19.000	19.000	45.000	3803214.782	2951763.775	23869992.914	23870006.371	13.457	-2.848
19.333	2.0000	1.0000	16.000	19.000	20.000	0.0000	3831211.968	2973579.673	23875320.430	23875334.168	13.738	-2.870
19.337	2.0000	1.0000	16.000	19.000	20.000	15.000	3859253.282	2995429.943	23880657.180	23880670.004	12.824	-2.896
19.342	2.0000	1.0000	16.000	19.000	20.000	30.000	3887337.486	3017313.653	23886001.141	23886013.262	12.121	-2.917
19.346	2.0000	1.0000	16.000	19.000	20.000	45.000	3915466.375	3039232.150	23891354.578	23891367.344	12.766	-2.945
19.350	2.0000	1.0000	16.000	19.000	21.000	0.0000	3943640.153	3061185.662	23896715.398	23896727.813	12.415	-2.965
19.354	2.0000	1.0000	16.000	19.000	21.000	15.000	3971859.755	3083174.851	23902085.813	23902098.684	12.871	-2.992
19.358	2.0000	1.0000	16.000	19.000	21.000	30.000	4000123.818	3105198.698	23907464.367	23907477.262	12.895	-3.016
19.362	2.0000	1.0000	16.000	19.000	21.000	45.000	4028434.675	3127258.998	23912852.117	23912865.363	13.246	-3.043
19.367	2.0000	1.0000	16.000	19.000	22.000	0.0000	4056792.925	3149356.233	23918248.656	23918261.656	13.000	-3.068
19.371	2.0000	1.0000	16.000	19.000	22.000	15.000	4085197.706	3171489.740	23923653.961	23923666.656	12.695	-3.089
19.375	2.0000	1.0000	16.000	19.000	22.000	30.000	4113652.074	3193661.879	23929068.188	23929082.207	14.019	-3.113
19.379	2.0000	1.0000	16.000	19.000	22.000	45.000	4142155.054	3215871.905	23934491.875	23934505.895	14.020	-3.134
19.383	2.0000	1.0000	16.000	19.000	23.000	0.0000	4170707.484	3238120.448	23939925.922	23939941.148	15.226	-3.160
19.388	2.0000	1.0000	16.000	19.000	23.000	15.000	4199310.356	3260408.288	23945368.781	23945382.742	13.961	-3.187
19.392	2.0000	1.0000	16.000	19.000	23.000	30.000	4227963.720	3282735.514	23950821.609	23950834.785	13.176	-3.204
19.396	2.0000	1.0000	16.000	19.000	23.000	45.000	4256667.634	3305102.111	23956283.516	23956296.832	13.316	-3.226
19.400	2.0000	1.0000	16.000	19.000	24.000	0.0000	4285422.755	3327508.630	23961755.094	23961769.160	14.066	-3.243
19.404	2.0000	1.0000	16.000	19.000	24.000	15.000	4314228.121	3349954.236	23967236.688	23967250.273	13.585	-3.276
19.408	2.0000	1.0000	16.000	19.000	24.000	30.000	4343085.134	3372440.137	23972728.922	23972741.699	12.777	-3.296
19.413	2.0000	1.0000	16.000	19.000	24.000	45.000	4371993.624	3394966.157	23978230.008	23978243.992	13.984	-3.314
19.417	2.0000	1.0000	16.000	19.000	25.000	0.0000	4400953.447	3417532.171	23983741.359	23983755.520	14.161	-3.334
19.421	2.0000	1.0000	16.000	19.000	25.000	15.000	4429964.859	3440138.362	23989261.930	23989275.246	13.316	-3.360
19.425	2.0000	1.0000	16.000	19.000	25.000	30.000	4459027.776	3462784.699	23994792.063	23994805.871	13.808	-3.382
19.429	2.0000	1.0000	16.000	19.000	25.000	45.000	4488144.022	3485472.576	24000333.648	24000347.410	13.762	-3.408
19.433	2.0000	1.0000	16.000	19.000	26.000	0.0000	4517313.997	3508202.346	24005883.461	24005898.020	14.559	-3.428
19.438	2.0000	1.0000	16.000	19.000	26.000	15.000	4546537.443	3530973.691	24011445.148	24011471.570	26.422	-3.470
19.442	2.0000	1.0000	16.000	19.000	26.000	30.000	4575815.560	0.000	24017016.977	0.000	-24017016.977	16025.125
19.446	2.0000	1.0000	16.000	19.000	26.000	45.000	4605147.677	0.000	24022598.219	0.000	-24022598.219	10443.437
19.450	2.0000	1.0000	16.000	19.000	27.000	0.0000	4634532.862	0.000	24028190.398	0.000	-24028190.398	4851.625
19.454	2.0000	1.0000	16.000	19.000	27.000	15.000	4663971.438	3058.431	24033791.984	24033804.234	12.250	-3.500
